Status: ColumnGeneration
Objective: 77.000000

T_0_0 8
F_0_0 0
X_0_0_0_13 1
T_0_1 16
F_0_1 7
X_0_1_1_10 1
T_0_2 20
F_0_2 0
X_0_2_1_13 1
T_1_0 0
F_1_0 1
X_1_0_1_4 1
T_2_0 8
F_2_0 13
X_2_0_0_14 1
T_2_1 16
F_2_1 0
X_2_1_2_1 1
T_3_0 2
F_3_0 10
X_3_0_2_4 1
T_4_0 4
F_4_0 0
X_4_0_1_13 1
T_4_1 18
F_4_1 1
X_4_1_2_1 1
T_5_0 0
F_5_0 10
X_5_0_2_4 1
